city_id,country_code,zip_postal_code,D,f0_
6409,DE,,2017-11-08,1784
3803,UK,,2017-11-08,11880
4280,UK,,2017-11-08,1100
3900,UK,,2017-11-08,1135
4311,UK,,2017-11-08,763
4242,UK,,2017-11-08,5221
3709,UK,,2017-11-08,2520
5699,DE,,2017-11-08,1719
6779,DE,,2017-11-08,382
5999,DE,,2017-11-08,444
5830,DE,,2017-11-08,1027
4471,UK,,2017-11-08,65
29200,CZ,,2017-11-08,1
6324,DE,,2017-11-08,111
4635,UK,,2017-11-08,49
29372,RU,,2017-11-08,1
4570,UK,,2017-11-08,24
5681,DE,,2017-11-18,4824
3720,UK,,2017-11-18,1903
4113,UK,,2017-11-18,2151
4349,UK,,2017-11-18,893
6005,DE,,2017-11-18,349
5822,DE,,2017-11-18,1056
30553,DE,,2017-11-18,472
6408,DE,,2017-11-18,474
4092,UK,,2017-11-18,590
46866,DE,,2017-11-18,2292
6787,DE,,2017-11-18,158
5856,DE,,2017-11-18,999
6695,DE,,2017-11-18,397
4410,UK,,2017-11-18,81
5797,DE,,2017-11-18,635
5808,DE,,2017-11-18,861
5854,DE,,2017-11-18,315
6730,DE,,2017-11-18,85
4111,UK,,2017-11-18,10
3814,UK,,2017-10-07,1121
3763,UK,,2017-10-07,12455
3699,UK,,2017-10-07,6567
3846,UK,,2017-10-07,577
3749,UK,,2017-10-07,1563
4595,UK,,2017-10-07,305
5950,DE,,2017-11-18,4
3767,UK,,2017-10-07,572
4231,UK,,2017-10-07,1457
3851,UK,,2017-10-07,56
3813,UK,,2017-10-07,304
4045,UK,,2017-10-07,315
3781,UK,,2017-10-07,154
6240,DE,,2017-10-07,125
5999,DE,,2017-10-07,143
6003,DE,,2017-10-07,54
5904,DE,,2017-10-07,133
4248,UK,,2017-10-07,343
6081,DE,,2017-10-07,100
4100,UK,,2017-10-07,176
6675,DE,,2017-10-07,41
3954,UK,,2017-10-07,4
5838,DE,,2017-10-17,3696
6454,DE,,2017-10-17,1708
6526,DE,,2017-10-17,2452
3946,UK,,2017-10-17,2965
3752,UK,,2017-10-17,47
3705,UK,,2017-10-17,5090
4412,UK,,2017-10-17,225
4286,UK,,2017-10-17,347
5789,DE,,2017-10-27,6979
5671,DE,,2017-10-27,8492
5722,DE,,2017-10-27,17292
6596,DE,,2017-10-17,2626
5781,DE,,2017-10-17,1352
6535,DE,,2017-10-17,742
3860,UK,,2017-10-27,4769
6273,DE,,2017-10-27,928
5863,DE,,2017-10-27,1281
6784,DE,,2017-10-27,150
6046,DE,,2017-10-27,1103
4595,UK,,2017-10-27,810
6419,DE,,2017-10-27,113
4564,UK,,2017-10-17,27
,RU,,2017-11-18,1
6000,DE,,2017-10-17,380
4218,UK,,2017-10-27,222
5802,DE,,2017-10-27,811
3938,UK,,2017-10-27,11
6110,DE,,2017-10-27,596
4644,UK,,2017-10-17,7
4575,UK,,2017-10-17,84
6560,DE,,2017-10-27,385
6412,DE,,2017-10-27,282
4643,UK,,2017-10-27,298
4298,UK,,2017-10-27,44
6571,DE,,2017-11-04,254
3807,UK,,2017-11-04,5340
4284,UK,,2017-10-27,190
4136,UK,,2017-10-17,58
4609,UK,,2017-10-17,4
4230,UK,,2017-10-27,13
3996,UK,,2017-11-04,926
4052,UK,,2017-11-04,183
6601,DE,,2017-11-04,204
6399,DE,,2017-11-04,704
6898,DE,,2017-11-04,302
4689,UK,,2017-11-04,353
4497,UK,,2017-11-04,626
6454,DE,,2017-11-04,271
6561,DE,,2017-11-04,404
4687,UK,,2017-10-27,27
6402,DE,,2017-11-04,41
,NL,,2017-11-04,22
6536,DE,,2017-11-04,9
4289,UK,,2017-11-14,2682
3730,UK,,2017-11-14,6959
6441,DE,,2017-11-14,1709
6804,DE,,2017-10-27,1
4172,UK,,2017-11-14,694
6084,DE,,2017-11-14,454
6738,DE,,2017-11-14,676
4012,UK,,2017-11-14,100
,,,2017-11-14,173570
4613,UK,,2017-10-27,6
6475,DE,,2017-11-14,170
5990,DE,,2017-11-14,602
4420,UK,,2017-11-14,49
4662,UK,,2017-11-14,18
6553,DE,,2017-11-14,175
4564,UK,,2017-11-14,49
13076,UA,,2017-11-14,7
33116,UK,,2017-11-14,70
5672,DE,,2017-11-13,123349
4563,UK,,2017-11-13,1087
5922,DE,,2017-11-13,413
3899,UK,,2017-11-13,1842
3982,UK,,2017-11-13,1076
6440,DE,,2017-11-13,2040
5863,DE,,2017-11-13,1372
5913,DE,,2017-11-13,109
6584,DE,,2017-11-13,266
6117,DE,,2017-11-13,1051
6547,DE,,2017-11-13,270
4488,UK,,2017-11-13,1889
5790,DE,,2017-11-13,348
5978,DE,,2017-11-13,555
3994,UK,,2017-11-13,586
48342,RO,,2017-11-04,1
4592,UK,,2017-11-14,2
3924,UK,,2017-11-13,265
4033,UK,,2017-11-13,69
6172,DE,,2017-11-13,76
7740,IT,,2017-11-14,1
6287,DE,,2017-11-23,3240
5771,DE,,2017-11-23,1637
3730,UK,,2017-11-23,2582
3817,UK,,2017-11-23,3920
3721,UK,,2017-11-23,2523
6369,DE,,2017-11-23,207
4027,UK,,2017-11-23,205
3879,UK,,2017-11-23,765
3941,UK,,2017-11-23,179
6137,DE,,2017-11-23,409
4059,UK,,2017-11-23,146
6610,DE,,2017-11-13,6
6000,DE,,2017-11-23,22
5905,DE,,2017-11-23,254
4665,UK,,2017-11-23,46
6649,DE,,2017-11-23,43
6274,DE,,2017-11-23,51
,EG,,2017-11-13,3
6598,DE,,2017-11-23,21
4171,UK,,2017-11-23,9
4609,UK,,2017-11-13,4
6350,DE,,2017-10-12,68
6544,DE,,2017-10-12,504
4231,UK,,2017-10-12,1225
4199,UK,,2017-10-12,433
5712,DE,,2017-10-12,589
3838,UK,,2017-10-12,755
6802,DE,,2017-10-12,18
3907,UK,,2017-10-12,193
3741,UK,,2017-10-12,675
3849,UK,,2017-10-12,519
6454,DE,,2017-10-12,89
3941,UK,,2017-10-12,114
5755,DE,,2017-10-12,284
6453,DE,,2017-11-23,2
6351,DE,,2017-10-12,74
6605,DE,,2017-10-12,121
4629,UK,,2017-10-12,23
5888,DE,,2017-10-12,96
5780,DE,,2017-10-22,2737
6017,DE,,2017-10-22,3009
5796,DE,,2017-10-22,8608
5825,DE,,2017-10-22,2384
4059,UK,,2017-10-22,743
3827,UK,,2017-10-22,16152
3731,UK,,2017-10-22,7034
5883,DE,,2017-10-22,2166
3817,UK,,2017-10-22,3608
4070,UK,,2017-10-12,5
6438,DE,,2017-10-22,688
6404,DE,,2017-10-22,995
3941,UK,,2017-10-22,779
4488,UK,,2017-10-22,1844
5946,DE,,2017-10-12,16
6761,DE,,2017-10-22,341
4706,UK,,2017-10-22,473
4565,UK,,2017-10-12,4
6494,DE,,2017-10-22,172
6251,DE,,2017-10-22,174
5674,DE,,2017-10-31,14912
6497,DE,,2017-10-31,472
3697,UK,,2017-10-31,18570
3705,UK,,2017-10-31,8361
4517,UK,,2017-10-31,2168
4204,UK,,2017-10-31,1298
4640,UK,,2017-10-31,627
3709,UK,,2017-10-31,2180
4516,UK,,2017-10-31,385
4042,UK,,2017-10-22,85
6714,DE,,2017-10-22,5
6392,DE,,2017-10-31,1316
4311,UK,,2017-10-31,683
4260,UK,,2017-10-31,1924
3993,UK,,2017-10-31,334
6071,DE,,2017-10-31,494
4142,UK,,2017-10-31,128
5879,DE,,2017-10-31,836
5888,DE,,2017-10-31,263
6206,DE,,2017-10-31,315
5828,DE,,2017-10-31,108
4619,UK,,2017-10-31,30
4669,UK,,2017-10-31,60
6729,DE,,2017-10-31,51
3927,UK,,2017-10-31,17
4613,UK,,2017-10-12,1
3808,UK,,2017-11-07,2488
3821,UK,,2017-11-07,2433
6755,DE,,2017-11-07,247
5789,DE,,2017-11-07,5772
3828,UK,,2017-11-07,3835
5678,DE,,2017-11-07,5268
3900,UK,,2017-11-07,1208
5935,DE,,2017-11-07,1062
4016,UK,,2017-11-07,837
3850,UK,,2017-11-07,2737
6671,DE,,2017-11-07,497
6742,DE,,2017-11-07,604
6699,DE,,2017-11-07,290
45554,DE,,2017-11-07,477
6227,DE,,2017-11-07,311
4370,UK,,2017-11-07,400
4052,UK,,2017-11-07,191
4595,UK,,2017-11-07,1268
6654,DE,,2017-11-07,126
4279,UK,,2017-11-07,55
3700,UK,,2017-11-17,1562
6510,DE,,2017-11-07,8
6560,DE,,2017-11-17,327
4429,UK,,2017-11-17,242
3795,UK,,2017-11-17,1330
5797,DE,,2017-11-17,705
6101,DE,,2017-11-17,329
6023,DE,,2017-11-17,624
6695,DE,,2017-11-17,378
4378,UK,,2017-11-17,547
6358,DE,,2017-11-07,16
5770,DE,,2017-11-17,529
3728,UK,,2017-11-17,538
6027,DE,,2017-11-17,626
6699,DE,,2017-11-17,254
4692,UK,,2017-11-17,25
3794,UK,,2017-11-17,161
4324,UK,,2017-11-17,100
6655,DE,,2017-11-17,123
6650,DE,,2017-11-17,34
4033,UK,,2017-11-17,29
5797,DE,,2017-10-06,270
5763,DE,,2017-10-06,1031
5721,DE,,2017-10-06,2102
4605,UK,,2017-11-17,15
5788,DE,,2017-10-06,613
6744,DE,,2017-10-06,145
5749,DE,,2017-10-06,830
3741,UK,,2017-10-06,799
3800,UK,,2017-10-06,721
6683,DE,,2017-10-06,97
4043,UK,,2017-10-06,232
4683,UK,,2017-10-06,146
4212,UK,,2017-10-06,202
5998,DE,,2017-10-06,148
3897,UK,,2017-10-06,333
4460,UK,,2017-11-17,18
5783,DE,,2017-10-06,355
6327,DE,,2017-10-06,41
6021,DE,,2017-10-06,160
4646,UK,,2017-10-06,76
6653,DE,,2017-10-06,29
4685,UK,,2017-10-06,40
6313,DE,,2017-10-06,14
6789,DE,,2017-10-06,49
5930,DE,,2017-11-27,862
3724,UK,,2017-11-27,432
6008,DE,,2017-11-27,179
6761,DE,,2017-11-27,108
3716,UK,,2017-11-27,1069
4333,UK,,2017-11-27,301
4377,UK,,2017-11-27,109
4593,UK,,2017-11-27,173
4138,UK,,2017-10-06,22
6452,DE,,2017-11-27,242
6070,DE,,2017-11-27,260
4633,UK,,2017-11-27,6
6623,DE,,2017-11-27,421
4007,UK,,2017-11-27,10
6751,DE,,2017-11-27,22
4432,UK,,2017-11-27,46
6346,DE,,2017-11-27,73
4624,UK,,2017-11-27,16
4074,UK,,2017-10-06,3
3951,UK,,2017-11-27,51
4688,UK,,2017-10-06,1
5739,DE,,2017-10-16,107413
45554,DE,,2017-10-16,587
4108,UK,,2017-10-16,388
5906,DE,,2017-10-16,1527
6805,DE,,2017-11-27,12
4653,UK,,2017-10-16,87
5852,DE,,2017-10-26,1414
3705,UK,,2017-10-26,7825
3827,UK,,2017-10-26,14103
3803,UK,,2017-10-26,10940
6541,DE,,2017-10-16,444
6738,DE,,2017-10-16,343
6540,DE,,2017-10-16,203
4144,UK,,2017-10-16,100
4047,UK,,2017-10-16,88
6549,DE,,2017-10-16,273
6292,DE,,2017-10-06,2
6745,DE,,2017-10-16,98
6008,DE,,2017-10-26,896
6261,DE,,2017-10-26,507
4422,UK,,2017-10-26,585
5889,DE,,2017-10-26,1843
4396,UK,,2017-10-26,469
3804,UK,,2017-10-26,1094
6499,DE,,2017-10-26,487
6208,DE,,2017-10-26,170
5985,DE,,2017-10-26,378
4264,UK,,2017-10-26,514
6377,DE,,2017-10-26,120
6763,DE,,2017-11-27,3
3969,UK,,2017-10-16,9
4438,UK,,2017-10-26,151
6632,DE,,2017-10-26,270
6140,DE,,2017-10-26,610
6596,DE,,2017-10-26,802
5945,DE,,2017-10-26,156
4161,UK,,2017-10-26,178
4410,UK,,2017-10-26,155
6768,DE,,2017-10-26,302
6306,DE,,2017-11-27,1
4486,UK,,2017-10-26,137
4153,UK,,2017-10-26,39
6757,DE,,2017-10-26,249
6363,DE,,2017-10-26,12
6764,DE,,2017-10-26,64
6720,DE,,2017-11-03,162
6585,DE,,2017-11-03,1098
6670,DE,,2017-11-03,947
6671,DE,,2017-11-03,814
6285,DE,,2017-11-03,1297
5876,DE,,2017-11-03,951
3874,UK,,2017-11-03,19059
3876,UK,,2017-11-03,4883
6056,DE,,2017-11-03,1366
4084,UK,,2017-11-03,1217
4109,UK,,2017-10-26,24
